id;start_date;end_date;language
1;2019-11-11T14:56:06;2019-11-11T22:28:20;PORTUGUESE
2;2019-11-11T17:09:31;2019-11-12T00:46:10;PORTUGUESE
3;2019-11-11T15:03:40;2019-11-11T22:17:47;PORTUGUESE
4;2019-11-11T23:54:11;2019-11-11T21:27:45;ENGLISH
5;2019-11-11T18:14:44;2019-11-12T00:37:11;PORTUGUESE
6;2019-11-11T15:59:10;2019-11-12T08:45:14;PORTUGUESE
7;2019-11-12T08:33:51;2019-11-12T11:17:44;ENGLISH
8;2019-11-11T21:19:20;2019-11-12T05:38:13;ENGLISH
9;2019-11-12T04:27:53;2019-11-11T17:26:15;PORTUGUESE
10;2019-11-12T10:52:42;2019-11-11T21:05:06;ENGLISH
